Nombre,ID,lon,lat,elev,poder,temp
Amincha,Ch_1_pub,-68.33942166,-21.20082789,3860,0,0
Ollague,Ch_2_pub,-68.25559262,-21.22395186,3700,7,1
Cebollar,Ch_3_pub,-68.33858458,-21.53139033,3730,12,1
Lequena,Ch_4_pub,-68.66240269,-21.65867665,3320,19,1
Rio Loa Antes Represa Lequena,Ch_5_pub,-68.66209025,-21.65588425,3315,17,0
Quillagua,Ch_6_pub,-69.53568387,-21.65520148,802,25,1
Ascotan,Ch_7_pub,-68.27561781,-21.72519774,3970,16,1
Quinchamale,Ch_8_pub,-68.59843994,-21.90902881,3080,11,0
San Pedro De Conchi,Ch_9_pub,-68.53636903,-21.93361999,3217,14,0
Parshall N 2,Ch_10_pub,-68.51970311,-21.94547949,3318,23,1
Conchi Viejo,Ch_11_pub,-68.72585215,-21.95383987,3491,18,0
Ojos San Pedro,Ch_12_pub,-68.3391344,-21.98787324,3800,18,1
Rio Siloli Antes B.T. Fcab,Ch_13_pub,-68.02891524,-22.01374753,4000,1,0
Silala,Ch_14_pub,-68.03231187,-22.01716425,4305,13,0
Conchi Embalse,Ch_15_pub,-68.62404742,-22.02698,3010,15,1
Conchi Muro Embalse,Ch_16_pub,-68.62082083,-22.0269545,3000,10,1
Inacaliri,Ch_17_pub,-68.06612502,-22.02728842,4040,15,1
Rio Loa En Salida Embalse Conchi,Ch_18_pub,-68.62115747,-22.02789485,2950,2,0
Cupo,Ch_19_pub,-68.3166428,-22.1147998,3370,19,0
Linzor,Ch_20_pub,-68.02284463,-22.22980146,4100,15,1
Turi,Ch_21_pub,-68.28802628,-22.24112463,3070,8,1
Toconce,Ch_22_pub,-68.16632706,-22.26468397,3310,14,1
Ayquina,Ch_23_pub,-68.32402592,-22.27590495,3031,27,1
Rio Salado A. J. Curti,Ch_24_pub,-68.24278639,-22.27908768,3080,0,0
Sifon Ayquina,Ch_25_pub,-68.34970244,-22.28362533,3000,2,0
Salado Embalse,Ch_26_pub,-68.20340206,-22.28516858,3200,30,1
Rio Salado En Sifon Ayquina,Ch_27_pub,-68.3448323,-22.28928803,2980,13,0
Caspana,Ch_28_pub,-68.21219717,-22.33695602,3260,14,1
Chiu-Chiu,Ch_29_pub,-68.64806066,-22.3454451,2524,25,1
El Tatio,Ch_30_pub,-68.01625274,-22.35100656,4370,13,1
Coya Sur,Ch_31_pub,-68,-23,3000,14,1
Calama,Ch_32_pub,-68.90631747,-22.5209,2300,14,1
Rio Grande,Ch_33_pub,-68.16737499,-22.65197739,3250,26,0
Sierra Gorda,Ch_34_pub,-69.32129159,-22.89080572,1616,14,1
San Pedro De Atacama,Ch_35_pub,-68.20052767,-22.91038375,2450,11,1
Toconao Experimental,Ch_36_pub,-67.99774061,-23.18919387,2500,14,1
Toconao Reten,Ch_37_pub,-68.00940109,-23.19391932,2460,16,0
Talabre,Ch_38_pub,-67.8896383,-23.31584637,3300,11,0
Camar,Ch_39_pub,-67.96199951,-23.40859527,2700,39,0
Socaire,Ch_40_pub,-67.89165385,-23.58787032,3251,13,1
Peine,Ch_41_pub,-68.06694228,-23.68187903,2460,25,1
